quality	tv	internet	warehouse	price	sold_ratio
73	0	0	0	18	1.0
73	0	0	0	19	1.0
76	0	0	0	17	1.0
76	0	0	0	25	0.685
77	0	0	0	10	1.0
79	0	0	0	18	1.0
79	0	0	0	19	1.0
79	0	0	0	23	0.825
79	0	0	0	24	0.764
80	0	0	0	14	1.0
80	0	0	0	19	1.0
80	0	0	0	22	0.889
80	0	0	0	23	0.83
81	0	0	0	16	1.0
81	0	0	0	19	1.0
82	0	0	0	23	0.839
83	0	0	0	14	1.0
83	0	0	0	16	1.0
83	0	0	0	25	0.719
84	0	0	0	12	1.0
84	0	0	0	17	1.0
84	0	0	0	22	0.907
85	0	0	0	14	1.0
86	0	0	0	10	1.0
87	0	0	0	16	1.0
87	0	0	0	17	1.0
88	0	0	0	17	1.0
88	0	0	0	18	1.0
